web-scraper-order|web-scraper-start-url|subcomponent|subcomponent-href|subcomponentlink|subcomponentlink-href|itemlink|itemlink-href|product_name|price|description|highlights
"1521171423-329"|"https://www.abcycling.com/mountain_bike_components.html"|"Headset Parts & Spacers"|"https://www.abcycling.com/Mountain_Bike_Headset_Parts__Spacers/catpage-HSPARTS.html"|""|""|"FSA Steerer Tube Expander 1 1/8"|"https://www.abcycling.com/FSA_Steerer_Tube_Expander_1_1_8/descpage-09488.html"|"FSA Steerer Tube Expander 1 1/8"|"12.99"|"The FSA Steerer Tube Expander is a no frills purpose built component. It uses a slim Aluminum top cap that is light on material and excess weight. The actual expander is small and sleek and uses a roughened steel surface to gently grab and holt your carbon steerer tube| keeping your headset and front end synched down to the perfect tightness."|"Weight: 41 grams Expander gently grabs carbon steerers Not for Alloy steerer tubes Easy to install Aluminum top cap"
"1521171716-446"|"https://www.abcycling.com/mountain_bike_components.html"|"Grips"|"https://www.abcycling.com/Mountain_Bike_Handlebar_Grips/catpage-MTBCOMPGRIP.html"|""|""|"Ergon GD1 Slim Grip"|"https://www.abcycling.com/Ergon_GD1_Slim_Grip/descpage-ERGD1S.html"|"Ergon GD1 Slim Grip"|"34.95"|"Built for the dedicated downhill rider| the Ergon GD1 features a unique tapered shape which offers more damping at the outer area and a slimmer inner side. This padding distribution offers cushion where you want it and control where you need it. Ergon built the GD1 with different tread patterns at the top and the bottom| designed to work in concert to keep you in control with minimal grip force. The anti-slip zone up top keeps your palm firmly in place| while the high-traction underside features rows of tiny angled lugs which give your fingers something to grip on to. All of those shallow rubber grooves have the added benefit of being extremely efficient at dissipating vibrations| keeping your hands comfortable on the bars even after hours of hammering down the mountain. If you like the GD1 Slim but prefer a thicker profile| check out the GD1 classic."|"Actual weight: 110 grams/pair Overall length: 143 mm Diameter at center: 29 mm Tapered profile Anti-slip patter top Super traction bottom zone Aluminum inner clamp Made in Taiwan"
"1521171272-271"|"https://www.abcycling.com/mountain_bike_components.html"|"Spokes & Nipples"|"https://www.abcycling.com/Mountain_Bike_Wheel_Spokes__Nipples/catpage-MMCSNI.html"|""|""|"Pace-Line 7075 Alloy Spoke Nipple 12mm"|"https://www.abcycling.com/Pace-Line_7075_Alloy_Spoke_Nipple_12mm/descpage-PLAN.html"|"Pace-Line 7075 Alloy Spoke Nipple 12mm"|"0.88 - 0.90"|"The ultimate wheel build starts with Pace-Line 7075 Alloy Nipples. Since they weigh almost nothing| you'll save quite a bit of rotating weight compared to brass nipples—about 16 grams on a 24-spoke wheel. Additionally| you'll enjoy a much higher degree of corrosion resistance since the Pace Line nipples are made from 7075 aluminum| which also enables the nipples to be tensioned tighter and resist rounding. Even though these nipples are tougher than more common alloy nipples| we still recommend using a four-sided nipple wrench with them| such as Park's SW-40| or DT Swiss' Classic Spoke Nipple Wrench. For easier tensioning| don't forget to add a drop of lube to the base of each nipple where it contacts the rim!"|"Four nipples weigh 1.3 grams 7075 aluminum Corrosion resistant 12mm length 14 gauge 3.23mm wrench flats"
"1521171208-242"|"https://www.abcycling.com/mountain_bike_components.html"|"Saddles"|"https://www.abcycling.com/Mountain_Bike_Saddles/catpage-MTBCOMPSAD.html"|""|""|"Fabric Scoop Shallow Elite Saddle"|"https://www.abcycling.com/Fabric_Scoop_Shallow_Elite_Saddle/descpage-FBSCSHS.html"|"Fabric Scoop Shallow Elite Saddle"|"74.99 - 79.99"|"Finally| saddles have bridged the gap between fashion and function| exemplified here in Fabric's Scoop Shallow Elite Saddle.  Designed to provide flexibility and an ergonomic feel through all genres of cycling| the Scoop is a truly multi-faceted saddle. Fabric's minimal three-step manufacturing process eliminates staples and reduces excess material| which reduces weight| improves comfort| and makes the saddles extremely easy to clean once dirty. Coming in a standard 142mm width| the Scoop Shallow Elite is a multi-position saddle with a medium level of padding. Utilizing a highly flexible nylon for the base| the Elite saddle is the pinnacle of comfort. Vacuum-bonded and custom designed| the staple-free base is also fantastically easy to clean. Hollow Cromoly rails are heavier than their titanium counterpart| but you know what they say....""Steel is real|"" in this case| real strong and real comfortable. Padding and support is achieved with a lightweight PU foam topper. Literally wrapping up the whole ensemble is a waterproof| microfiber cover which offers grip and a lovely supple feel. Say goodbye to harsh saddles.  Designed for everyone| the Fabric Scoop Saddle is the perfect balance of comfort| performance and simplicity."|"60 Day Fit Guarantee. If you’re not satisfied within 60 days from date of purchase| simply return it and choose another Fabric saddle Actual weight 262 grams 142mm wide x 282mm long Shallow profile Nylon base Hollow Cromoly 7mm rails Lightweight PU foam Waterproof microfiber cover Rider weight limit: 100kg (220lbs)"
"1521171065-180"|"https://www.abcycling.com/mountain_bike_components.html"|"Seatposts"|"https://www.abcycling.com/Mountain_Bike_Seatposts/catpage-MTBCOMPSP.html"|""|""|"e*thirteen TRS+ Dropper Post 30.9 150mm"|"https://www.abcycling.com/ethirteen_TRS_Dropper_Post_309_150mm/descpage-E13D309.html"|"e*thirteen TRS+ Dropper Post 30.9"|"251.99"|"The e*thirteen TRS+ Dropper Post is one of the lightest droppers out there| and also one of the most affordable. This is due| in part| to its fully mechanical design. Instead of relying on air springs and hydraulics fluid| the TRS+ uses springs and pawls. If you don't mind the trade-off of infinite positioning—the TRS+ has four preset positions—for reliability and almost zero service| then this might be the dropper for you. Lever action is smooth and light as it rotates on sealed bearings. Likewise| the effort required to lower the post is minimal. Making installation easy is the cable attachment point at the lever."|"Actual weight (Lever| housing| cable adds 148 grams)  150: 575 grams  170: 542 grams  Actual length (includes cable interface)   150: 500 mm 170: 500 mm    Minimum insertion (includes cable interface)   150: 210 mm  170: 165 mm  150 or 170 mm travel 30.9 mm diameter Zero setback Fully mechanical design Four fixed positions: 150| 125| 75| 0 mm Shifter-style remote lever| Matchmaker compatible For internally routed frames only Five year warranty Made in Taiwan e13 Part # SP1TPA-100"
"1521171308-287"|"https://www.abcycling.com/mountain_bike_components.html"|"Hubs & Conversions"|"https://www.abcycling.com/Mountain_Bike_Hubs__Conversions/catpage-MCH.html"|""|""|"Wolf Tooth Boostinator Front DT190/240"|"https://www.abcycling.com/Wolf_Tooth_Boostinator_Front_DT190_240/descpage-WTBF3240.html"|"Wolf Tooth Boostinator Front DT190/240"|"23.70"|"If you're not feeling inclined to sell your killer wheelset just to buy a set that fits your newer Boost-standard frame and fork| Wolf Tooth's Boostinator Front Kit comes to the rescue. This kit adapts 15x100mm DT Swiss 190 & 240 series front hubs (and some Spline One front wheels) to fit 15x110mm Boost forks. Wolf Tooth was built this to keep your rotor in the correct location| meaning you won't have to utilize any rotor spacers. You will| however| have to re-dish your front wheel. Centerlock hubs only. Installation instructions HERE."|"Actual weight: 10 grams Turns 100 mm non-Boost hub into 110 mm Boost hub Maintains correct disc location Front Boostinator is one endcap and doesn't require rotor spacers Wheel will still need to be re-dished Front is compatible with Center Lock and six-bolt hubs and rotors Compatible with DT Swiss 2011 and newer 15x100mm 190/240 front hubs Compatible with some DT SwissSpline One wheels. Compatibility table here  CNC machined 6061 aluminum Made in the USA"
"1521170901-111"|"https://www.abcycling.com/mountain_bike_components.html"|"Clearance Components"|"https://www.abcycling.com/Clearance_Mountain_Bike_Components/catpage-SALETILEMT6.html"|""|""|"e*thirteen GuideRing M Chain Ring 104BCD"|"https://www.abcycling.com/ethirteen_GuideRing_M_Chain_Ring_104BCD/descpage-E13MR10.html"|"e*thirteen GuideRing M Chain Ring 104BCD"|"19.88"|"As riders everywhere celebrate the death of the front derailleur| new 1x10 and 1x11 chainring offerings continue to proliferate. Rather than simply offering another ""me too"" narrow-wide chainring| e*thirteen has developed a chainring that offers features found no where else. The e*thirteen GuideRing M Chainring offers an adjustable chainline to optimize your setup for either a 10-speed or 11-speed cassette. Use the 50mm chainline for 11-speed| or flip the GuideRing M around to the 49mm chainline option for 10-speed setups.  Perhaps the most striking aspect of the GuideRing M Chainring is the exquisite machine work on display here. While CNC'd chainrings are certainly far from rare| the quality found on the GuideRing M is. The intricate design of the wide teeth is consistent across the entire circumference of the chainring while the narrow teeth feature a carefully made spire shape to help guide the chain into place.  Last but not least| the GuideRing M is made to take a beating. At 4.65mm thick it can shrug off impacts that would crush a lesser chainring. Meanwhile that same durability offers outstanding stiffness so that all the power you put to the pedals can be transferred to the trail."|"Actual weights  32T-43 grams 36T-69 grams 38T-81 grams  Adjustable chainline (49mm or 50mm) Made of durable 7075 Aluminum Effective tooth height 6.65 mm 4.65mm thick for durability Designed for use with or without a chain guide 104mm BCD Single-ring use only Five year warranty  Normal wear and tear excluded"
"1521171347-302"|"https://www.abcycling.com/mountain_bike_components.html"|"Hubs & Conversions"|"https://www.abcycling.com/Mountain_Bike_Hubs__Conversions/catpage-MCH.html"|""|""|"Industry Nine Torch XD1 Freehub Body Kit"|"https://www.abcycling.com/Industry_Nine_Torch_XD1_Freehub_Body_Kit/descpage-I9XD1FHB.html"|"Industry Nine Torch XD1 Freehub Body Kit"|"179.99"|"For anyone who has upgraded to I9's new Torch hubs and are now ready to upgrade your drivetrain to SRAM eleven speed| you will need this Industry Nine XD1 Freehub Body Kit. Manufactured to the same unyielding specifications as all I9 kit| the XD1 hub body comes with all three bearings| and all six pawls and springs installed."|"Actual weight 67 grams One-piece machined aluminum Three bearings  Two inner| one outer  Six pawls  Instant| three-degree engagement  Fits Sram XD1 compatible eleven speed cassettes only Only compatible with Industry Nine Torch hubs Made in the USA Industry Nine part # FH9004"
"1521172043-584"|"https://www.abcycling.com/mountain_bike_components.html"|"Bearing Kits & Adapters"|"https://www.abcycling.com/Bearing_Kits__Adapters/catpage-MTCTBKA.html"|""|""|"Enduro 6802 Cartridge Bearing 15x24x5"|"https://www.abcycling.com/Enduro_6802_Cartridge_Bearing_15x24x5/descpage-EN6802H.html"|"Enduro 6802 Cartridge Bearing 15x24x5"|"3.99"|"The ABEC 3 Enduro 6802 Cartridge Bearing 15x24x5 is labyrinth sealed with two NBR 70| low-contact| low-friction seals| which ride in a groove machined into the bearing.  High precision| Grade 10 chromium steel balls are within 10/1|000|000″ round| twice as round as the industry standard. These precision balls ride in a 52100 high carbon chromium alloy race| hardened to R-62 to make them extremely tough and durable. Mirror finish polishing of the races creates ABEC-3 precision and noiseless movement.  When replacing a bearing| measure the inner diameter (ID)| outer diameter (OD)| and width (W) to determine compatibility."|"Actual weight 6 grams Static capacity 219 pounds 15 x 24 x 5 (ID x OD x W) Grade 10 Chromium Steel Balls 52100 High Carbon Chromium Alloy Races Riveted steel retainer  Two NBR 70 rubber seals with low contact type seal"
"1521171788-475"|"https://www.abcycling.com/mountain_bike_components.html"|"Rear Derailleurs & Hangers"|"https://www.abcycling.com/Mountain_Bike_Rear_Derailleurs__Hangers/catpage-MTBRDER.html"|""|""|"Shimano XT Di2 8050 GS Rear Derailleur"|"https://www.abcycling.com/Shimano_XT_Di2_8050_GS_Rear_Derailleur/descpage-SHIRDM8050G.html"|"Shimano XT Di2 8050 GS Rear Derailleur"|"293.99"|"The future of shifting technology is finally available to us common folks. While Shimano's top-of-the-line XTR Di2 electric-shifting derailleur was amazing| it also came along with a pretty hefty 650 price tag. Now| you can get a Shimano Di2 derailleur for less than half of that| without sacrificing the buttery-smooth shifting that made the XTR so awesome. Yes| trickle-down technology is a beautiful thing! Now that the excellent (and affordable) Shimano XT Di2 8050 Rear Derailleur is available| you can expect to see electronic shifting becoming the norm rather than the exception. With no cables to create shifter lag| gear changes occur the instant you press the lever. Each lever is customizable also| enabling you to assign up/down| front/back| and single or multiple shifts however you want.  If the idea of keeping the untouchable gearing range a 2X or 3X crankset provides sounds great| and not having to worry about the shifting that accompanies such range sounds even better| you'll be happy to know that the 8050 rear derailleur works with the front| telling it when a shift is necessary. This takes the burden of front derailleur management out of your hands. Easy| automated| and efficient—this really is the future! Eliminate the vagaries of cable-actuated shifting from your rides| and step up to a Di2 system drivetrain for flawless performance. Di2 delivers hassle-free| maintenance-free operation that's more powerful and accurate than anything possible from traditional systems—now for a fraction of the price."|"Actual weight: 323 grams Cage length: Mid cage (GS) Cage material: Aluminum Clutch: Shadow RD+ Cassette speed: 11 Cassette range: 11-42T (2x11-speed) 11-46T (1x11-speed) Max Capacity: 35T Max front difference: 10T Warranty: Two years"
"1521172064-593"|"https://www.abcycling.com/mountain_bike_components.html"|"Bottom Brackets"|"https://www.abcycling.com/Mountain_Bike_Bottom_Brackets/catpage-MTBCOMPBB.html"|""|""|"Wheels MFG. PF30 BB w/ Angular Contact Threaded Black"|"https://www.abcycling.com/Wheels_MFG_PF30_BB_w__Angular_Contact_Threaded_Black/descpage-SPORWMPF30A.html"|"Wheels MFG. PF30 BB w/ Angular Contact Threaded Black"|"99.00"|"There is a solution to the imprecise| creak-prone| bearing-eating BB30 bottom bracket design: the Wheels Manufacturing PF-30 Threaded Bottom Bracket. Wheels uses a ""hybrid thread"" system for a solid foundation to your bottom bracket installation. The BB's drive side cup presses in with a bearing press| just like all press-fit BB's| but the non-drive side threads into a sleeve which is part of the drive side cup. This ensures that both cups are lined up| keeping the bearings straight and the cup/frame interface level and precise. Machined aluminum cups house some of the finest bearings in cycling. Angular contact bearings are famous for their superior performance under axial loads| but they are also more durable than standard bearings in any situation| since wear is spread out over more of each ball. This makes them excellent for the heavy abuse that bottom bracket bearings endure. Installation of this BB will require a bearing cup press for the drive side cup| and a bottom bracket wrench for the non-drive side cup. An additional bottom bracket wrench will be needed to hold the pressed-in side."|"Actual weight: 187 grams Enduro 71806 LLB angular contact bearings 30 mm spindle diameter Press Fit: PF30| Specialized Carbon OSBB| BBRight  Frames with 61mm shell width will need additional 3.5 mm spacers (not included)  61 to 79 mm shell width  46 mm shell internal diameter"
"1521171245-260"|"https://www.abcycling.com/mountain_bike_components.html"|"Saddles"|"https://www.abcycling.com/Mountain_Bike_Saddles/catpage-MTBCOMPSAD.html"|""|""|"Chromag Trailmaster LTD Saddle Natural"|"https://www.abcycling.com/Chromag_Trailmaster_LTD_Saddle/descpage-CMTMLTD.html"|"Chromag Trailmaster LTD Saddle Natural"|"121.99"|"Sharing the same shape and padding as the Trailmaster| the Chromag Trailmaster LTD Saddle steps up its game with a seamless| heavy stock| oiled leather cover. Its leather cover adds a serious dose of style| along with the durability quality leather provides. A flat (laterally) sit zone has a slight upward kick to it| making the Trailmaster a bit more supportive during climbing efforts or for riders without XC-racer glutes. Make no mistake| however| the Trailmaster is intended for high-level riding; it's wider| softer nose provides a perch for when you find yourself in the middle of a steep| loose climb| and provides a point of reference and leverage for bike handling duties. Soft| round edges allow fast position changes without hanging up on clothing. The Chromag Trailmaster LTD is a saddle for riders who value performance| style| and quality."|"Actual weight: 354 grams 284 x 140 mm Seamless| oiled leather cover Medium-firm foam Chromoly rails One year warranty Made in Taiwan"
"1521171738-455"|"https://www.abcycling.com/mountain_bike_components.html"|"Grips"|"https://www.abcycling.com/Mountain_Bike_Handlebar_Grips/catpage-MTBCOMPGRIP.html"|""|""|"Chromag Basis Lock-On Grips"|"https://www.abcycling.com/Chromag_Basis_Lock-On_Grips/descpage-CMBSL.html"|"Chromag Basis Lock-On Grips"|"27.99"|"Firm and tacky| the Chromag Basis Lockon Grip is Chromag's thinnest grip. Like a golf ball| it's dimpled surface cheats the wind and will take at least ten seconds off a three-minute race run... Well| maybe not| but they sure do feel great under your hands. Thanks to a special deep-woods Canadian rubber formulation| the Chromag Basis grips will endure longer than a typical ""sticky surface"" grip.  Riders who prefer a responsive-feeling grip will enjoy the Chromag Basis| and the extra safety and style the outboard lock ring imparts."|"Actual weight 106 grams/pair Total length 140 mm  Grip surface 122 mm long  29.5 mm diameter Firm feel Tacky surface Inverted grip pattern Closed lock on clamp One year warranty Made in Taiwan"
